Title,Owner,State,City/District,Periodity
NAV BIHAR TIMES,KAMAL KISHORE,BIH,AURANGABAD,D
BEGUSARAI TIMES,RADHA KRISHAN CHOUDHARY,BIH,BEGUSARAI,D
BEGUSARAI TIMES,RADHA KRISHAN CHOWDHERY,BIH,BEGUSARAI,W
QUAID E MILLAT TIMES,TASNIM KAUSAR,BIH,BHAGALPUR,D
VIKRAMSHILA TIMES,NARAYAN PRASAD T.,BIH,BHAGALPUR,F
ANG TIMES,RAYAZAT ALI HAIDER,BIH,BHAGALPUR,W
ARVAN TIMES,SURYA PRAKASH LAL,BIH,BHAGALPUR,W
BABA TIMES,SHIVAJI PATHAK,BIH,BHOJPUR,F
MALTI TIMES,RAGHUBAR LAL DAS,BIH,DARBHANGA,D
DARBHANGA TIMES,MANSOOR KHUSHTER,BIH,DARBHANGA,D
TIMES OF MITHILANCHAL,SANJAY BISWAS,BIH,DARBHANGA,F
VIDYAPATI TIMES,VINOD KUMAR,BIH,DARBHANGA,F
UGNA TIMES,LALIT KUMAR SUMAN,BIH,DARBHANGA,M
SUBODH TIMES,,BIH,GAYA,D
LAXMAN TIMES,,BIH,GAYA,W
VISHWA VIPLAV TIMES,ADITYA KUMAR,BIH,KATIHAR,F
KATIHAR TIMES,BASUDEO PRASAD,BIH,KATIHAR,F
FARKIYA TIMES,DINESH KUMER DEO,BIH,KHAGARIA,W
SURJAPUR TIMES,TARACHAND DHANUKA,BIH,KISHANGANJ,W
LAKHISARAI TIMES,LAXMI PRASAD SINGH,BIH,LAKHISARAI,W
MONGHYR TIMES,JAGDISH KUMAR,BIH,MUNGER,M
MONGHYR TIMES,JAGDISH KUMAR DEEPAK,BIH,MUNGER,W
DOLI TIMES,RAMA SHANKAR CHAUDHARY,BIH,MUZAFARPUR,W
TIRHUT TIMES,CHANDER MOHAN SAHEY,BIH,MUZAFFARPUR,D
YODHA TIMES,ARUNKUMAR,BIH,MUZAFFARPUR,D
MONA TIMES,SURINDER PRASAD,BIH,MUZAFFARPUR,D
HAJIPUR TIMES,JEETU PASWAN,BIH,MUZAFFARPUR,D
ANIWESH TIMES,ANIWESH KUMAR,BIH,MUZAFFARPUR,D
HAKIKAT TIMES,SYED NAIYAR ALI WARSI,BIH,MUZAFFARPUR,D
AL-HIND TIMES,M JAVED HASAN,BIH,MUZAFFARPUR,M
CHARAIVETI TIMES,ANJANA DEVI,BIH,MUZAFFARPUR,M
MONA TIMES,,BIH,MUZAFFARPUR,TWW
SANDEEP TIMES,NAND KISHORE SRIVASTAVA,BIH,MUZAFFARPUR,W
YASHODA TIMES,AJAY KUMAR,BIH,MUZAFFARPUR,W
AMBER TIMES,PARAS NATH PRASAD,BIH,MUZAFFARPUR,W
GLOBAL TENDER TIMES,M.J.HASAN,BIH,MUZAFFARPUR,W
HIMASIA TIMES,JYOTI NARAYAN BHARATI,BIH,MUZAFFARPUR,W
ABHIKA TIMES,NOT GIVEN,BIH,MUZAFFARPUR,W
GOPI TIMES,RAM LAL AGARWAL,BIH,MUZZAFARPUR,D
CHITRA GUPTA TIMES,BIKAU MAHTO,BIH,MUZZAFFARPUR,D
MEHTA TIMES,TRIBHUWAN MEHTA,BIH,MUZZAFFARPUR,D
AL WATAN TIMES,MOHAMMAD IQBAL SABA,BIH,NALANDA,D
PAVAPURI TIMES,BHOLA PRASAD PAHARI.,BIH,NALANDA,W
SAFA TIMES,HABIBUR REHMAN,BIH,PASCHIM CHAMPARAN,D
BETTIAH TIMES,AFZAL QADRI & PARVEZ AKHTAR,BIH,PASHCHIM CHAMPARAN,M
NABHAS TIMES,ABHISHEK KUMAR DWIVEDI,BIH,PASHCHIM CHAMPARAN,M
KAYAM TIMES,MD QAYAM UDDIN,BIH,PATNA,D
LOKTANTRA TIMES,MD. KHALID ANWAR,BIH,PATNA,D
SHELENDRA VANI TIMES,SHAILENDRA KUMAR,BIH,PATNA,D
RAJHAT TIMES,KHURSHIDA PERVEEN,BIH,PATNA,D
JAN SAMOOH TIMES,OM PRAKASH DEEP,BIH,PATNA,D
RAVI BHUSHAN TIMES,NATH SINGH,BIH,PATNA,D
THE TIMES OF INDIA,"BENNETT, COLEMAN & CO.LTD",BIH,PATNA,D
DUMRA TIMES,IMTEYAZ ALI KHAN,BIH,PATNA,D
QURRAH TIMES,SABITA SINGH,BIH,PATNA,D
AL WATAN TIMES,MOHAMMAD IQBAL SABA,BIH,PATNA,D
LATIF TIMES,SABRA KHATOON,BIH,PATNA,D
D'SUZA TIMES,M.R. D'SOUZA,BIH,PATNA,D
PATLIPUTRA TIMES,NEERAJ NEWSPAPERS ASSOCIATION PVT LTD,BIH,PATNA,D
PATNA TIMES OF INDIA,"BENNETT, COLEMAN & CO.LTD",BIH,PATNA,D
JAGRITI TIMES,SANJAY KUMAR SINGH,BIH,PATNA,D
HINDUSTAN TIMES,HT MEDIA LTD,BIH,PATNA,D
THE ECONOMIC TIMES,"BENNETT, COLEMAN & CO.LTD",BIH,PATNA,D
NAVBHARAT TIMES,"BENNETT, COLEMAN & CO.LTD",BIH,PATNA,D
PATLIPUTRA TIMES,NEERAJ NEWSPAPER (P) LTD.,BIH,PATNA,D
THE LABOUR TIMES,DHIRENDRA NATH VERMA,BIH,PATNA,F
UNIVERSITY TIMES,DHIRENDRA NATH VERMA,BIH,PATNA,F
KAPURI TIMES,SADANAND PARSHAD,BIH,PATNA,F
ASIAN TIMES,JEBA TASLIM,BIH,PATNA,F
HEALTH & ENVIRONMENT TIMES,RAJESH KUMAR SINHA,BIH,PATNA,M
SUNAMI TIMES,SEEMA DEVI,BIH,PATNA,M
THE MEDIA TIMES,ANITA JHA,BIH,PATNA,M
JAN PRAHARI TIMES,SHYAM NATH SINGH,BIH,PATNA,M
GHATNA CHAKRA TIMES,SHASHI KIRAN,BIH,PATNA,M
TIMES TO TIMES,MANOJ KUMAR,BIH,PATNA,M
KEWAL SACH TIMES,BRAJESH MISHRA,BIH,PATNA,M
SUNDAY HINDUSTAN TIMES,HT MEDIA LTD,BIH,PATNA,W
THE ECONOMIC TIMES MAGAZINE,"BENNETT, COLEMAN & CO.LTD",BIH,PATNA,W
ANURADHA TIMES,VINOD PRASAD SINGH,BIH,PATNA,W
PATNA TIMES,PATNA TIMES PUBLICATION (P) LTD.,BIH,PATNA,W
MADHUYOG TIMES,SHRI YOGENDRA SHAH,BIH,PATNA,W
THE ECONOMIC TIMES ON SATURDAY,"BENNETT, COLEMAN & CO.LTD",BIH,PATNA,W
SECULAR TIMES,MOHD REHAN,BIH,PATNA,W
JAGRITI TIMES,SANJAY KUMAR SINGH,BIH,PATNA,W
TRILOK TIMES,SHASHI KANT,BIH,PATNA,W
THRISHNA TIMES,DEEPA GUPTA,BIH,PATNA,W
YODHA TIMES,MUNNA SINGH,BIH,PATNA,W
THE SUNDAY TIMES OF INDIA,BENNETT COLEMAN & COMPANY LIMITED,BIH,PATNA,W
DAVANTI TIMES,SARITA KUMARI,BIH,PATNA,W
GHANSHYAMPUR TIMES,KISHORI PRASAD SINGH,BIH,PATNA,W
MAHABIR BIHAR TIMES,GANESH PRASAD,BIH,PATNA,W
RAJAPUR TIMES,RAKESH KUMAR,BIH,PATNA,W
SORABH SUNNY TIMES,SANTOSH KUMAR,BIH,PATNA,W
VIVARAN TIMES,ARUN KUMAR SINGH,BIH,PATNA,W
FINANCIAL TIMES OF INDIA,M\S TIMES PUBLISHING HOUSE LTD,BIH,PATNA,W
SAMKALEEN DINMAAN TIMES,MIRZA ASAD BAIG,BIH,PATNA,W
BANTI DEEP MALA TIMES,MALA KUMARI,BIH,PATNA,W
SUNIL TIMES,SUNIL KUMAR,BIH,PATNA,W
MOHAN TIMES,AMRESH CHOUDHARY,BIH,PATNA,W
HAFIZ TIMES,HAFIJURAHMAN,BIH,PATNA,W
