Title,Owner,State,City/District,Periodity
SHINE INDIA,SAEED PUBLICATIONS,AP,HYDERABAD,D
MARK INDIA,L.ASEERVADAM,AP,HYDERABAD,D
STARS OF INDIA,MOHD SHABUDDIN,AP,HYDERABAD,D
METRO INDIA,INTERCONTINENTAL PUBLICATIONS PRIVATE LIMITED,AP,HYDERABAD,D
THE INDIAN SPIRIT,NAMU APPARAO,AP,HYDERABAD,D
INDIAN LIGHT,MOHAMMAD ILYAS,AP,HYDERABAD,D
INDIAN HORIZON,DR.RAHIMUDDIN KEMAL,AP,HYDERABAD,D
THE HANS INDIA,HYDERABAD MEDIA HOUSE LTD.,AP,HYDERABAD,D
SOUTH INDIA NEWS,N.V.RAMANA REDDY,AP,HYDERABAD,D
INDIA GUIDE,SYED IKRAMULLAH HUSSAINI,AP,HYDERABAD,F
SHINE INDIA,SAEED PUBLICATIONS,AP,HYDERABAD,M
INDIAN EX SOLDIERS INFORMATIVE BULLETIN,MUNAGA NAGESWARA RAO,AP,HYDERABAD,M
SHADAAB INDIA,MOHAMMED MAHABOOB ALI,AP,HYDERABAD,M
TRANSFORMING INDIA,ACCESS LIVELIHOODS CONSULTING INDIAN PRIVATE LIMITED,AP,HYDERABAD,Q
NEWS WEB INDIA,SUMIT KUMAR PUNDIR,AP,HYDERABAD,W
HAMARA INDIA,ASIYA BEGUM,AP,HYDERABAD,W
INDIA GUIDE,DR. SYED IKRAMULLA HUSSAINI,AP,HYDERABAD,W
INDIA GULF TIMES,ZEENATH SAJIDA,AP,HYDERABAD,W
POLITICS IN INDIA,Y.S.G.RAMA RAO,AP,HYDERABAD/ SECUNDERABAD,F
SWAN INDIA,SATYANARAYANA POSA,AP,KADAPA,M
NEW INDIAN WORKER,C. SUBBARAYUDU,AP,KADAPA,M
INDIA AND THE WORLD,C V K RAO,AP,KAKINADA/ EAST GODAVERI,F
INDIAN VOICE,CHINTA SARATH KUMAR REDDY,AP,KARIMNAGAR,D
METRO INDIA,INTERCONTINENTAL PUBLICATIONS PRIVATE LIMITED,AP,KARIMNAGAR,D
THE NEWS 4 INDIA,SATHARLA RAJA VIVEKANANDA,AP,KARIMNAGAR,F
METRO INDIA,INTERCONTINENTAL PUBLICATIONS PRIVATE LIMITED,AP,KHAMMAM,D
SPIRITUAL INDIA,J.V.V.RANGA RAO,AP,KOTHAGUDEM,BM
THE NEW INDIAN EXPRESS,EXPRESS PUBLICATIONS (MADURAI) LTD.,AP,KRISHNA,D
REAL NEWS OF INDIA,CHALADI PURNA CHANDRA RAO,AP,KRISHNA,F
INDIAN MEDICINE,INDIAN MEDICINE HOUSE,AP,KRISHNA,M
THE INDIAN MAIL,B VINAYAKA RAO,AP,KRISHNA/ VIJAYWADA,D
ANUYUGAMLO INDIA,C PARDHA SARADHY,AP,KRISHNA/ VIJAYWADA,M
INDIAN POWER,CHANDANA MADANA VENKATA NAGA MALLESWARA RAO,AP,KRISHNA/ VIJAYWADA,M
INDIAN MEDICINE HOUSE JOURNAL,D. RADHAKRISHNAMURTY,AP,KRISHNA/ VIJAYWADA,M
THE HANS INDIA,HYDERABAD MEDIA HOUSE LTD.,AP,KURNOOL,D
VOICE OF INDIA,M MADHU,AP,KURNOOL,M
EDUCATIONAL INDIA,M. SESHACHALAM & OTHERS,AP,MACHILIPATNAM/ KRISHNA,M
METRO INDIA,INTERCONTINENTAL PUBLICATIONS PRIVATE LIMITED,AP,MAHABUBNAGAR,D
METRO INDIA,INTERCONTINENTAL PUBLICATIONS PRIVATE LIMITED,AP,NALGONDA,D
FLASH INDIA,KOMARAJU. SRINIVASULU,AP,NALGONDA,D
FLASH INDIA,KOMARAJU. SRINIVASULU,AP,NALGONDA,M
INDIAN LAW & JUSTICE,"B.,RATNAKARA RAO",AP,NELLORE,M
AN INDIAN REPORT,PUVVALA SARATHCHANDRA BABU,AP,NELLORE,M
LEADER OF INDIA,M SATEESH KUMAR,AP,NELLORE,M
METRO INDIA,INTERCONTINENTAL PUBLICATIONS PRIVATE LIMITED,AP,NIZAMABAD,D
NAMASTHE INDIA,ATMAKURI KRISHNA PRASADA RAO,AP,PIDUGURALLA,D
THE HANS INDIA,HYDERABAD MEDIA HOUSE LTD.,AP,RAJAHMUNDRY,D
THE INDIAN MAIL,B. VINAYAKA RAO,AP,RANGAREDDY,D
INDIAN CHRONICLE,M/S. SAI KRISHNA PUBLICATIONS,AP,RANGAREDDY,D
INDIAN LEGISLATURE,SUNEEL KUMAR APPAJI,AP,RANGAREDDY,M
PEOPLES INDIA,K.RATNAMALA,AP,RANGAREDDY,M
VISION INDIA,K. VENKATESH,AP,RANGAREDDY,M
INDIAN CINE STUNTS AND DANCE,JALLA MADHUSUDHAN,AP,RANGAREDDY,M
THE NEW INDIAN EXPRESS,EXPRESS PUBLICATIONS (MADURAI) LTD.,AP,TADEPALLIGUDEM,DS
THE TIMES OF INDIA,"BENNETT, COLEMAN & CO.LTD",AP,VIJAYAWADA,D
THE HANS INDIA,HYDERABAD MEDIA HOUSE LTD.,AP,VIJAYAWADA,D
THE SUNDAY TIMES OF INDIA,"BENNETT, COLEMAN & CO.LTD",AP,VISAKHAPATNAM,D
VIZAG TIMES OF INDIA,"BENNETT, COLEMAN & CO.LTD",AP,VISAKHAPATNAM,D
THE NEW INDIAN EXPRESS,EXPRESS PUBLICATIONS (MADURAI) LTD.,AP,VISAKHAPATNAM,D
THE HANS INDIA,HYDERABAD MEDIA HOUSE LTD.,AP,VISAKHAPATNAM,D
THE TIMES OF INDIA,"BENNETT, COLEMAN & CO.LTD",AP,VISAKHAPATNAM,D
FEATURES INDIA,BHARANIKANA RAMA RAO,AP,VISAKHAPATNAM,D
HARSHA INDIA,MERI SALONI MUTHYALA,AP,VISAKHAPATNAM,F
HOBBY INDIA,EKAMBARA PANDA,AP,VISAKHAPATNAM,F
GREEN INDIA,V. GAUTHAM PRAKASH RAO,AP,VISAKHAPATNAM,M
THE DANCE INDIA,BATHINA RANGA VIKRAM KUMAR,AP,VISAKHAPATNAM,M
METRO INDIA,INTERCONTINENTAL PUBLICATIONS PRIVATE LIMITED,AP,WARANGAL,D
MEDICAL PRACTIONER'S ASSOCIATION OF INDIA JRNL OF,THE PVT. MEDICAL PRACTITIONERS ASSOCIATION OF INDIA,AP,WEST GODAVARI,BM
GRAND INDIA,TOKALA RAJESH BABU,AP,WEST GODAVARI,D
INDIAN JOURNALIST,PACHIKALAPADU GANGANNA,AP,Y.S.R,M
THE TIMES OF INDIA,"BENNETT, COLEMAN & CO.LTD",ASS,GUWAHATI,D
THE SUNDAY TIMES OF INDIA,"BENNETT, COLEMAN & CO.LTD",ASS,GUWAHATI,W
THE ECHO OF INDIA,ASISH LAHA,ASS,KAMRUP METROPOLITAN/ GUWAHATI,D
INDIAN COSMOPOLITAN,THE COSMOPOLITAN INSTITUTE,ASS,KAMRUP METROPOLITAN/ GUWAHATI,M
JOURNAL OF THE NORTH EAST INDIA COUNCIL FOR SOCIAL SCIENCE RESEARCH,NORTH EAST INDIA COUNCIL FOR SOCIAL SCIENCE RESEARCH,ASS,SHILLONG,HY
INDIAN STEEL VANI,RAGHUNANDAN SINGH,BIH,,D
THE INDIAN PROUD,NARENDRA PRASAD SINGH,BIH,BHOJPUR,D
BELAGAM INDIA,SHAILENDRA BIHARI,BIH,BHOJPUR,M
METRO INDIA NEWS,SARITA DEVI,BIH,MUZAFFARNAGAR,W
KAVITA INDIA,DR AKHORI CHITRANJAN SAHAY,BIH,MUZAFFARPUR,W
THE INDIAN TRIBUTES,MOHAMMAD GAUHAR,BIH,PATNA,D
NAYA INDIA,SAMVAD PARIKRAMA PVT. LTD.,BIH,PATNA,D
THE INDIAN NATION,THE NEWSPAPERS AND PUBLICATIONS LTD.,BIH,PATNA,D
INDIAN STEEL VANI,,BIH,PATNA,D
PATNA TIMES OF INDIA,"BENNETT, COLEMAN & CO.LTD",BIH,PATNA,D
HALAT E INDIA,SAROJ CHOUDHARY,BIH,PATNA,D
THE TIMES OF INDIA,"BENNETT, COLEMAN & CO.LTD",BIH,PATNA,D
NEW INDIA HERALD,RAJESH KUMAR JAIN,BIH,PATNA,D
MORNING INDIA,PREM,BIH,PATNA,D
INDIAN JOURNAL OF PSYCHOMETRY & EDUCATION,INDIAN PSYCHOMETIC AND EDUCATIONAL RESEARCH ASSOCIATION,BIH,PATNA,HY
VOICE OF INDIAN MUSLIMS,MD.MOIN ANSARI UMEED,BIH,PATNA,M
INDIA THIRTY DAY,BAJRANGBALI SINGH,BIH,PATNA,M
ALAKH INDIA,AMAR NATH KUMAR,BIH,PATNA,M
PREMIER INDIA,DR. RAJESH KUMAR,BIH,PATNA,M
DAY'S OF INDIA,SUNIL KUMAR,BIH,PATNA,M
INDIAN CULTURE TODAY,KUMAR ANUPAM SINHA,BIH,PATNA,M
BEKHAUF INDIA,UMA SHANKAR SINGH,BIH,PATNA,Q
THE SUNDAY TIMES OF INDIA,BENNETT COLEMAN & COMPANY LIMITED,BIH,PATNA,W
FINANCIAL TIMES OF INDIA,M\S TIMES PUBLISHING HOUSE LTD,BIH,PATNA,W
HAMAR INDIA,POONAM JOSHI,BIH,SAMASTIPUR,M
CHANDIGARH TIMES OF INDIA,BENNETT COLEMAN AND CO LTD,CHA,CHANDIGARH,D
THE TIMES OF INDIA,"BENNETT, COLEMAN & CO.LTD",CHA,CHANDIGARH,D
NAYA INDIA,SAMVAD PARIKRAMA PVT LTD,CHA,CHANDIGARH,D
CORPORATE PRESS RELEASES (INDIA),B. ROY BARMON,CHA,CHANDIGARH,D
INDIA NEWS,GOOD MORNING INDIA MEDIA PVT. LTD.,CHA,CHANDIGARH,D
THE INDIAN EXPRESS,THE INDIAN EXPRESS PVT. LIMITED,CHA,CHANDIGARH,D
LUDHIANA TIMES OF INDIA,BENNETT COLEMAN AND CO LTD,CHA,CHANDIGARH,D
INDIAN JOURNAL OF CLINICAL PSYCHOLOGY,INDIAN ASSOCIATION OF CLINICAL PSYCHOLOGISTS,CHA,CHANDIGARH,HY
INDIAN JOURNAL OF MENTAL RETARDATION,ALL INDIA ASSOCIATION ON MENTAL RETARDATION,CHA,CHANDIGARH,HY
ALL INDIA CRIMINAL LAW REPORTER,JAGJIT SINGH CHAWLA,CHA,CHANDIGARH,M
SUPREME DECISIONS OF INDIA,BHUSHAN LAL BANSAL,CHA,CHANDIGARH,M
INDIAN,TEJ MEDIA PVT. LTD.,CHA,CHANDIGARH,M
ALL INDIA BANKING LAW JUDGEMENTS,SHARANJIT SINGH KALRA,CHA,CHANDIGARH,M
ALL INDIA ARBITRATION & TRADEMARKS LAW REPORTER,SHARANJIT SINGH KALRA,CHA,CHANDIGARH,M
INDIAN CIVIL CASES,MOHAN BIR SINGH,CHA,CHANDIGARH,M
ALL INDIA LAND ACQUISITION & COMPENSATION CASES,NARINDER GANDHI,CHA,CHANDIGARH,M
NORTHERN INDIA TAX CASES,L.B.C. PUBLICATION,CHA,CHANDIGARH,M
ALL INDIA LAND LAWS REPORTER,S. SHARANJIT SINGH KALRA,CHA,CHANDIGARH,M
ALL INDIA HINDU LAW REPORTER,JAGJIT SINGH CHAWLA,CHA,CHANDIGARH,M
THE CURRENT INDIAN STATUTES,SMT SHANTA DEVI SURI,CHA,CHANDIGARH,M
INDIAN CRIMINAL JOURNAL,ANIL KUMAR GULATI,CHA,CHANDIGARH,M
INDIA TEXTILE AND HOSIERY MANNUAL,K.L.AHUJA,CHA,CHANDIGARH,M
STATE BANK OF INDIA CHANDIGARH CIRCLE NEWS,THE STATE BANK OF INDIA,CHA,CHANDIGARH,Q
POLITICAL ECONOMY JOURNAL OF INDIA,CENTER FOR INDIAN DEVELOPMENT STUDIES,CHA,CHANDIGARH,Q
FEDERAL INDIA,SURINDER KHULLAR,CHA,CHANDIGARH,Q
INDIAN JOURNAL OF COMMUNITY MEDICINE,INDIAN ASSOCIATION OF PREVENTION AND SOCIAL MEDICINE,CHA,CHANDIGARH,Q
THE INDIAN EXPRESS CLASSIFIED,M/S. THE INDIAN EXPRESS PVT. LTD.,CHA,CHANDIGARH,TWW
INDIA YUVA AWAZ,RAJINDER KUMAR GUPTA,CHA,CHANDIGARH,W
SUNDAY TIMES OF INDIA,"BENNETT, COLEMAN & CO.LTD",CHA,CHANDIGARH,W
NORTH INDIA KALEIDOSCOPE,NIK MEDIA VENTURES PRIVATE LIMITED,CHA,CHANDIGARH,W
MID INDIA TIMES,AJRA NIYAJI,CHH,BASTAR,D
PRATAH INDIA,ARUSHI PUBLICATION PVT. LTD.,CHH,BASTAR,D
CHANNEL INDIA,PAWAN DUBEY,CHH,BASTAR,D
MID INDIA,AJRA NIYAZI,CHH,BASTAR,M
VATAN INDIA TIMES,RANJEET BAKHSHISH,CHH,BASTAR,W
INDIAN PLANET,SANDEEP DANG,CHH,BILASPUR,W
MOST INDIA,MD. MASOOD KHAN,CHH,DURG,M
SUSTAINABLE INDIA,SRI AUROBINDO YOGA AND KNOWLEDGE FOUNDATION,CHH,DURG,M
MODERN EDUCATIONAL RESEARCH IN INDIA,N. PAPA RAO,CHH,DURG,Q
INDIAN COVERAGE,VINOD SINGHAL,CHH,DURG,Q
CURRENT INDIA,D.S.NIYAJI,CHH,JAGDALPUR,W
INDIAN BUSINESS NEWS,GANESH DAS MAHANT,CHH,KORBA,A
INDIA INSIGHT,BALAJI MULTIMEDIA,CHH,KORBA,M
UNIQUE INDIA,KAMAL WADHWANI,CHH,RAIPUR,BM
METRO INDIA,INTERCONTINENTAL PUBLICATION PRIVATE LIMITED,CHH,RAIPUR,D
ADAB INDIA,MOHD AZIZ ANWAR,CHH,RAIPUR,D
THE TIMES OF INDIA,"BENNETT, COLEMAN & CO.LTD",CHH,RAIPUR,D
INDIA NEWS,GOOD MORNING INDIA MEDIA PVT LTD,CHH,RAIPUR,D
NAYA INDIA,SAMVAD PARIKRAMA PVT LTD,CHH,RAIPUR,D
EXPRESS YOUNG INDIA,ASHISH JHA,CHH,RAIPUR,D
CHANNEL INDIA,PAWAN DUBEY,CHH,RAIPUR,DE
CONNECTING INDIA,AMZAD KHAN,CHH,RAIPUR,F
SPACE INDIA,SANJAY KUMAR NAYAK,CHH,RAIPUR,F
INDIAN PSYCHOLOGICAL REVIEW,"DEPARTMENT OF PSYCHOLOGY, RAVISHANKAR UNIVERSITY, RAIPUR",CHH,RAIPUR,HY
INDIA WRITERS,NILESH SHARMA,CHH,RAIPUR,M
INDIA PUBLISHING COMPANY,ASHISH KHETRAPAL,CHH,RAIPUR,M
INSPIRE INDIA,ANMOL MALHOTRA,CHH,RAIPUR,M
EXPRESS YOUNG INDIA,ASHISH JHA,CHH,RAIPUR,M
INDIA EDGE,RAKESH PATHAK,CHH,RAIPUR,M
ORGANIZE INDIA,NARAYAN CHITLANGIA,CHH,RAIPUR,M
KHEL INDIA,SHANKAR CHANDRAKER,CHH,RAIPUR,M
INDIAN LOOK,MANJU TIWARI,CHH,RAIPUR,M
INDIA KEE RAAH,RIZWAN AZAM,CHH,RAIPUR,M
JANMAT INDIA,MRITUNJAY NIRMALKAR,CHH,RAIPUR,M
POSITIVE INDIA,PURSHOTTAM MISHRA,CHH,RAIPUR,M
PALPAL INDIA,SEEMA ABHIMANOJ,CHH,RAIPUR,M
INDIAN BHOOMI,MD ALI AHMAD,CHH,RAIPUR,M
INDIA FILE,RAM SWAROOP SHARMA,CHH,RAIPUR,M
CENTRAL INDIA REVIEW,MOUSUMI MISHRA,CHH,RAIPUR,M
SANDESH INDIA,PAWAN K. PATEL,CHH,RAIPUR,W
BEST INDIA,ANIL KUMAR CHANNE,CHH,RAIPUR,W
PAGE INDIA,DEEPAK DUBEY,CHH,RAIPUR,W
SUNDAY TIMES OF INDIA,"BENNETT, COLEMAN & CO.LTD",CHH,RAIPUR,W
CHRONICLE OF INDIA,RAJESH SINGH,CHH,RAIPUR,W
INDIAN EXPRESS,CHANDRA PRAKASH SHIVHARE,CHH,RAIPUR,W
SAVERA INDIA TIMES,NARESH AGARWAL,DD,DAMAN,D
COMPUTER SOCIETY OF INDIA NEWSLETTER,K M CHANDRA SHEKARAIAH,DEL,BENGALURU URBAN,M
THE INDIAN RIFLEMAN,NATIONAL RIFLE ASSOCIATION OF INDIA,DEL,CONNAUGHT CIRCUS N D,Q
INDIAN PETROLEUM HAND BOOK,PETROLEUM INFORMATION SERVICE,DEL,DELHI,A
JOURNAL OF ALL INDIA ARCHITECTS,RAHUL SHARMA,DEL,DELHI,A
INDIAN AGRICULTURAL INDUSTRIES YELLOW PAGES,A.K.PATEL,DEL,DELHI,A
INDIAN POULTRY WHOS WHO,N. NARANG,DEL,DELHI,A
INDIA TODAY,LIVING MEDIA INDIA LTD.,DEL,DELHI,A
INDIA TODAY,LIVING MEDIA INDIA LTD,DEL,DELHI,A
INDIAN RETAIL DIRECTORY,SHAILESH KUMAR PANDEY,DEL,DELHI,A
INDIAN POULTRY INDUSTRY YEAR BOOK,SHAKUNTLA P. GUPTA,DEL,DELHI,A
MEDICAL YEAR BOOK OF INDIA,BIJAY KUMAR DASH,DEL,DELHI,A
HOME APPLIANCES AND KITCHENWARE DIRECTORY OF INDIA,JAI BIR YADAV,DEL,DELHI,A
THE JOURNAL OF THE POETRY SOCIETY (INDIA),THE POETRY SOCIETY (INDIA),DEL,DELHI,A
INDIAN IMPORTER'S DIRECTORY,INFOCOM NETWORK,DEL,DELHI,A
THE INDIAN PHARMA REFERENCE GUIDE,KONGPOSH PUBLICATIONS PVT.LTD.,DEL,DELHI,A
INDIA WHO'S WHO,INFA PUBLICATIONS (DURGA DAS PVT. LTD.),DEL,DELHI,A
DAIRY INDIA,P.R GUPTA,DEL,DELHI,A
GS1 INDIA NEWSLETTER,GS1 INDIA,DEL,DELHI,A
MEN OF AGRI. & VET. SCI. IN INDIA DISTINUISHED WHO,P.L. KHOSLA,DEL,DELHI,A
THE TIMES OF INDIA HIGHER EDUCATION,"BENNETT, COLEMAN & CO.LTD",DEL,DELHI,A
CULTURAL HERITAGE OF INDIA,SWAMI VIJAYANANDA,DEL,DELHI,A
CHEMICAL INDIA ANNUAL,SARVDUMAN KUMAR BHAROT,DEL,DELHI,A
INDIA TODAY,LIVING MEDIA INDIA LTD,DEL,DELHI,A
INDIA AT A GLANCE,SHRI S. K. SAVARA & VINOD K. SAVARA,DEL,DELHI,A
INDIAN JOURNAL OF SOCIOLOGY,KESHAV DEV SHARMA,DEL,DELHI,A
INDIA LAW JOURNAL,VIKRANT PACHNANDA,DEL,DELHI,A
COMPETITION COMMISSION OF INDIA JOURNAL ON COMPETITION LAW AND POLICY,COMPETITION COMMISSION OF INDIA,DEL,DELHI,A
HEALTH INDIA,SAROJ OJHA,DEL,DELHI,A
INDIAN JOURNAL OF BURNS,NATIONAL ACADEMY OF BURNS-INDIA,DEL,DELHI,A
INDIA TODAY,LIVING MEDIA INDIA LTD.,DEL,DELHI,A
ALL INDIA SPORTS GOODS DIRECTORY,GOVIND SINGH MANRAL,DEL,DELHI,A
INDIA TRAVEL AWARDS,DEVIKA JEET,DEL,DELHI,A
ALLINDIA ENGINEERING PRODUCTS DIRECTORY,G.R. KHATTAR,DEL,DELHI,A
CULTURAL NEWS FROM INDIA,INDIAN COUNCIL FOR CULTURAL RELATIONS,DEL,DELHI,BM
INDIAN TRAVEL NETWORK,SANJAY KUMAR ARORA,DEL,DELHI,BM
INDIAN HARIDAJ NEWS,SWAMI CHIDANAND,DEL,DELHI,BM
VOICE OF RURAL INDIA,CONFEDERATION OF NGO'S RURAL INDIA,DEL,DELHI,BM
THE INDIAN PHARMACIST,KALHAN BAZAZ,DEL,DELHI,BM
SOMMELIER INDIA,REVA K. SINGH,DEL,DELHI,BM
INCREDIBLE INDIA,MINISTRY OF TOURISM,DEL,DELHI,BM
PICTURE QUALITY RESEARCH SERVICES INDIA INCREDIBLE,PHAL S.GIROTA,DEL,DELHI,BM
COLOURS OF INDIA,FUTURE VISION PUBLICATION,DEL,DELHI,BM
INDIAN JAYCEES CHALLENG,INDIAN JAYCEES,DEL,DELHI,BM
THE INDIAN OPTICIAN,EAST LAND PUBLISHING CO.,DEL,DELHI,BM
INDIAN JOURNAL OF DIPLOMACY,K PARTHA SARADHY,DEL,DELHI,BM
THIS IS INDIA,RANJIT VARMA,DEL,DELHI,BM
STONE AND TILE IN INDIA,PARVEEN KUMAR JAIN,DEL,DELHI,BM
INDIAS NEW DAY,SH. REV. R. ABRAHAM,DEL,DELHI,BM
PERSPECTIVE INDIA,ANAND GOPAL BHATNAGAR,DEL,DELHI,BM
WIRE & CABLE INDIA,PARVEEN KUMAR JAIN,DEL,DELHI,BM
IN TOUCH INDIA IN TRUTH IN LOVE,TOUCH INDIA TRUST,DEL,DELHI,BM
INDIA CHOUPAL,CHOUPAL INDIA,DEL,DELHI,BM
INDIA INTERNATIONAL CENTRE DIARY,INDAIA INTERNATIONAL CENTRE,DEL,DELHI,BM
INDIAN TEACHER,SHAMBOO NATH,DEL,DELHI,BM
PRAGATI INDIA,TRADE FAIR AUTHORITY OF INDIA,DEL,DELHI,BM
INDIAN BRIDGE WORLD,V.B. GUPTA,DEL,DELHI,BM
THE INDIANS ABROAD,HARISH MAHAJAN,DEL,DELHI,BM
DEVELOPING INDIA MIRROR,UNITED NEWS OF INDIA,DEL,DELHI,BM
IMAGES INDIA SHOP DESIGN,IMAGES MULTIMEDIA PVT. LTD.,DEL,DELHI,BM
INDIAN MILLER,ROLLER FLOUR MILLERS FEDERATION OF INDIA,DEL,DELHI,BM
CHESS INDIA,D.K. GUPTA,DEL,DELHI,BM
THE INDIAN JOURNAL OF HOSPITAL PHARMACY,INDIAN HOSPITAL PHARMACISTS ASSOCATION,DEL,DELHI,BM
THE NURSING JOURNAL OF INDIA,THE TRAINED NURSES ASSOICIATION OF INDIA,DEL,DELHI,BM
DISCOVER INDIA'S NORTHEAST,OUTDOOR PEOPLE TOURISM PROMOTION.PVT.LTD,DEL,DELHI,BM
CRAFT INDIA,T.M. TRIPATHI,DEL,DELHI,BM
INDIAN RADIO AMATEUR,AMATEUR RADIO SOCIETY OF INDIA,DEL,DELHI,BM
INDIAN JOURNAL OF ENGINEERING & MATERIALS SCIENCES,NATIONAL INSTITUTE OF SCIENCE COMMUNICATION & INFORMATION RESOURCES,DEL,DELHI,BM
THE NATTIONAL MEDICAL JOURNAL OF INDIA,ALL INDIA INSTITUTE OF MEDICAL SCIENCE,DEL,DELHI,BM
BULLETIN OF N S OF INDIA FOR MALARIA & OTHER M B D,NATIONAL SOCIETY OF INDIA FOR MALARIA & OTHER MOSQUITO- BORNE DISEASES,DEL,DELHI,BM
"INDIA: YESTERDAY, TODAY AND TOMORROW",D.L. KALRA,DEL,DELHI,BM
ENTREPRENEUR INDIA,AJAY KUMAR GUPTA,DEL,DELHI,BM
INDIAN JOURNAL OF COMPUTER SCIENCE,ASSOCIATED MANAGEMENT CONSULTANTS PVT.LTD,DEL,DELHI,BM
COCA COLA INDIAN REGION NEWSLETTER,COCACOLA EXPORT COROPERATION,DEL,DELHI,BM
QUINTESSENCE INDIA,QUINTESSENCE SCIENCE COMMUNICATIONS PVT. LTD.,DEL,DELHI,BM
INDIAN JOURNAL OF PRINTING TECHNOLOGY,SURJEET GUPTA,DEL,DELHI,BM
INDIAN JOURNAL OF RADIO AND SPACE PHYSICS,NISCAIR,DEL,DELHI,BM
INSIDE INDIA,BALWANT RAI,DEL,DELHI,BM
INDIAN CREATIVE MINDS,MANOJ KUMAR TRIPATHY,DEL,DELHI,BM
INDIAN JOURNAL OF DAIRY SCIENCE,INDIAN DAIRY ASSOCIATION,DEL,DELHI,BM
INDIAN JOURNAL OF CHEMICAL TECHNOLOGY,NATIONAL INSTITUTE OF SCIENCE COMMUNICATION & INFORMATION RESOURCES,DEL,DELHI,BM
HOLIDAY TRAVEL INDIA,M/S MATRIX MEDIA PVT LTD,DEL,DELHI,BM
DIABETES INDIA,PANKAJ KUMAR,DEL,DELHI,BM
HEAD LINE INDIA,BALBIR SINGH,DEL,DELHI,BM
INDIAN MEDICAL & PHARMACEUTICAL TODAY JOURNAL,JAIDEV SINGH,DEL,DELHI,BM
POWERTECH INDIA,TECHPUBS MEDIA(OPC) PVT LTD,DEL,DELHI,BM
VISION INDIA INTERNATIONAL,SURAJ ARYA,DEL,DELHI,BM
PRAGATI INDIA,TRADE FAIR AUTHORITY OF INDIA,DEL,DELHI,BM
INDIA FOUNDATION JOURNAL,INDIA FOUNDATION,DEL,DELHI,BM
JOURNAL OF INDIAN MEDICAL SPECIALITIES,JAIDEV SINGH GILL,DEL,DELHI,BM
JOURNAL OF THE ANTHROPOLOGICAL SURVEY OF INDIA,ANTHROPOLOGICAL SURVEY OF INDIA,DEL,DELHI,BNL
INDIAN PRESS SERVICE,P L JHUNJHUNWALLA,DEL,DELHI,D
FACT INDIA NEWS,M.SADAT,DEL,DELHI,D
AMRIT INDIA,AMRIT JAIN,DEL,DELHI,D
NEW INDIA HERALD,RAJESH KUMAR JAIN,DEL,DELHI,D
DELHI TIMES OF INDIA,"BENNETT, COLEMAN & CO.LTD",DEL,DELHI,D
INDIA ABROAD EXPRESS,RAM CHANDRA SHARMA,DEL,DELHI,D
INDIAN PRASHASAN,ZULFIKAR ALI ANSARI,DEL,DELHI,D
THE INDIAN POST,M/S INDIAN CHRONICLE PVT. LTD,DEL,DELHI,D
